"acronym"	"name"	"id"	"FBbt"	"parent_structure_id"	"structure_id_path"	"graph_depth"	"has_children"	"col"
"44"	"BU_L"	"bulb"	54	"FBbt:00003682"	90	"/105/90/"	3	FALSE	"white"
"45"	"LH_L"	"lateral horn"	55	"lateral horn"	92	"/105/92/"	3	FALSE	"white"
"46"	"LAL_L"	"lateral accessory lobe"	56	"FBbt:00003681"	90	"/105/90/"	3	FALSE	"white"
"47"	"CAN_L"	"cantle"	57	"FBbt:00045051"	97	"/105/97/"	3	FALSE	"white"
"48"	"AMMC_L"	"antennal mechanosensory and motor center"	58	"FBbt:00003982"	9	"/105/97/9/"	4	FALSE	"white"
"49"	"ICL_L"	"inferior clamp"	59	"FBbt:00040049"	102	"/105/94/102/"	4	FALSE	"white"
"50"	"VES_L"	"vest"	60	"FBbt:00040041"	103	"/105/96/103/"	4	FALSE	"white"
"51"	"IB_L"	"inferior bridge"	61	"FBbt:00040050"	94	"/105/94/"	3	FALSE	"white"
"52"	"ATL_L"	"antler"	62	"FBbt:00045039"	94	"/105/94/"	3	FALSE	"white"
"53"	"CRE_L"	"crepine"	63	"FBbt:00045037"	94	"/105/94/"	3	FALSE	"white"
"54"	"MB_PED_L"	"pedunculus of adult mushroom body"	64	"FBbt:00007453"	88	"/105/88/"	3	FALSE	"white"
"55"	"MB_VL_L"	"vertical lobe of adult mushroom body"	65	"FBbt:00015407"	88	"/105/88/"	3	FALSE	"white"
"56"	"MB_ML_L"	"medial lobe of adult mushroom body"	66	"FBbt:00007677"	88	"/105/88/"	3	FALSE	"white"
"57"	"FLA_L"	"flange"	67	"FBbt:00045050"	97	"/105/97/"	3	FALSE	"white"
"58"	"LOP_L"	"lobula plate"	69	"FBbt:00003885"	99	"/105/87/99/"	4	FALSE	"white"
"59"	"AL_L"	"adult antennal lobe"	70	"FBbt:00007401"	95	"/105/95/"	3	FALSE	"white"
"60"	"ME_L"	"medulla"	71	"FBbt:00003748"	87	"/105/87/"	3	FALSE	"white"
"61"	"SLP_L"	"superior lateral protocerebrum"	72	"FBbt:00007054"	93	"/105/93/"	3	FALSE	"white"
"62"	"SIP_L"	"superior intermediate protocerebrum"	73	"FBbt:00045032"	93	"/105/93/"	3	FALSE	"white"
"63"	"SMP_L"	"superior medial protocerebrum"	74	"FBbt:00007055"	93	"/105/93/"	3	FALSE	"white"
"64"	"AVLP_L"	"anterior ventrolateral protocerebrum"	75	"FBbt:00040043"	101	"/105/91/101/"	4	FALSE	"white"
"65"	"PVLP_L"	"posterior ventrolateral protocerebrum"	76	"FBbt:00040042"	101	"/105/91/101/"	4	FALSE	"white"
"66"	"IVLP_L"	"wedge"	77	"FBbt:00045027"	91	"/105/91/"	3	FALSE	"white"
"67"	"PLP_L"	"posterior lateral protocerebrum"	78	"FBbt:00040044"	91	"/105/91/"	3	FALSE	"white"
"68"	"AOTU_L"	"anterior optic tubercle"	79	"FBbt:00007059"	91	"/105/91/"	3	FALSE	"white"
"69"	"GOR_L"	"gorget"	80	"FBbt:00040039"	103	"/105/96/103/"	4	FALSE	"white"
"70"	"MB_CA_L"	"calyx of adult mushroom body"	81	"FBbt:00007385"	88	"/105/88/"	3	FALSE	"white"
"71"	"SPS_L"	"superior posterior slope"	82	"FBbt:00045040"	104	"/105/96/104/"	4	FALSE	"white"
"72"	"IPS_L"	"inferior posterior slope"	83	"FBbt:00045046"	104	"/105/96/104/"	4	FALSE	"white"
"73"	"SCL_L"	"superior clamp"	84	"FBbt:00040048"	102	"/105/94/102/"	4	FALSE	"white"
"74"	"EPA_L"	"epaulette"	85	"FBbt:00040040"	103	"/105/96/103/"	4	FALSE	"white"
"75"	"GA_L"	"gall"	86	"FBbt:00040060"	90	"/105/90/"	3	FALSE	"white"
"76"	"OL"	"optic lobe"	87	"optic lobe"	105	"/105/"	2	TRUE	"white"
"77"	"MB"	"mushroom body"	88	"mushroom body"	105	"/105/"	2	TRUE	"white"
"78"	"CX"	"central complex"	89	"central complex"	105	"/105/"	2	TRUE	"white"
"79"	"LX"	"lateral complex"	90	"lateral complex"	105	"/105/"	2	TRUE	"white"
"80"	"VLNP"	"ventrolateral neuropils"	91	"ventrolateral neuropils"	105	"/105/"	2	TRUE	"white"
"81"	"LH"	"lateral horn"	92	"lateral horn"	105	"/105/"	2	TRUE	"white"
"82"	"SNP"	"superior neuropils"	93	"superior neuropils"	105	"/105/"	2	TRUE	"white"
"83"	"INP"	"inferior neuropils"	94	"inferior neuropils"	105	"/105/"	2	TRUE	"white"
"84"	"AL"	"antennal lobe"	95	"antennal lobe"	105	"/105/"	2	TRUE	"white"
"85"	"VMNP"	"ventromedial neuropils"	96	"ventromedial neuropils"	105	"/105/"	2	TRUE	"white"
"86"	"PENP"	"periesophageal neuropils"	97	"periesophageal neuropils"	105	"/105/"	2	TRUE	"white"
"87"	"LOX"	"lobula complex"	99	"lobula complex"	87	"/105/87/"	3	TRUE	"white"
"88"	"CB"	"central body"	100	"central body"	89	"/105/89/"	3	TRUE	"white"
"89"	"VLP"	"ventrolateral protocerebrum"	101	"ventrolateral protocerebrum"	91	"/105/91/"	3	TRUE	"white"
"90"	"CL"	"clamp"	102	"clamp"	94	"/105/94/"	3	TRUE	"white"
"91"	"VX"	"ventral complex"	103	"ventral complex"	96	"/105/96/"	3	TRUE	"white"
"92"	"PS"	"posterior slope"	104	"posterior slope"	96	"/105/96/"	3	TRUE	"white"
"93"	"BR"	"brain"	105	"brain"	105	"/105/"	1	TRUE	"white"
